date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-10-19 00:00:00,0.33577532343930744,0.40871042962801096,0.023283129677597797,3.162565269147452e-05,0.0,0.0,253096764.46648327,269023725.1011726
2024-10-20 00:00:00,0.2667241660172454,0.14722946275937732,0.035243870006945885,2.858660284237297e-05,0.0,0.0,270055345.70383775,258850255.66190884
2024-10-21 00:00:00,0.2622409825291305,0.15723170533441896,0.03798116543951001,2.9334228570604247e-05,0.0,0.0,276087320.84762454,271442272.0618335
2024-10-22 00:00:00,0.25253725625190704,0.13289544452577706,0.056497606596651366,1.841985753096318e-05,0.0,0.0,249878665.89297825,261784508.08059174
2024-10-23 00:00:00,0.2119175867040777,0.14652044143590598,0.06931001296862951,2.117035016264014e-05,0.0,0.0,269694206.2014149,266498355.162027
2024-10-24 00:00:00,0.37940991656141676,0.17342397697992323,0.07395371937323394,2.9883483951169962e-05,0.0,0.0,283412989.2006831,292179457.4459475
2024-10-25 00:00:00,0.20926247727815095,0.17328359490419162,0.049493511641479124,1.6015705932147795e-05,0.0,0.0,264997108.27279016,260790335.9956436
2024-10-26 00:00:00,0.1802753058546992,0.207962453009634,0.03677216792616682,1.8157612750593493e-05,0.0,0.0,268054460.3005891,266602262.3273628
2024-10-27 00:00:00,0.22157177638098238,0.12856497176046272,0.03947744566540677,2.90428461698955e-05,0.0,0.0,224091739.994915,252785511.50108823
2024-10-28 00:00:00,0.20166634080325263,0.1382763803805058,0.026365883572364822,1.4067460636204452e-05,0.0,0.0,235761208.57166958,267117609.1188598
2024-10-29 00:00:00,0.15488141852633208,0.22032542482755482,0.03501311998333424,2.4935400993152902e-05,0.0,0.0,218025526.164003,269503907.72925913
2024-10-30 00:00:00,0.223072227739618,0.12546329144418536,0.04779354565937325,2.593939767901557e-05,0.0,0.0,247264146.78079405,266390534.5885158
2024-10-31 00:00:00,0.1725507774775311,0.15942649640580112,0.024249691710937833,2.898275187357863e-05,0.0,0.0,225355394.06763655,270267393.802055
2024-11-01 00:00:00,0.25323627696423806,0.29621493926060694,0.07798215366148885,2.3936597654828092e-05,0.0,0.0,233005273.3769612,259199497.17803544
2024-11-02 00:00:00,0.228612429076891,0.0722509152531618,0.050568256740621875,2.466537583206228e-05,0.0,0.0,231627482.81419393,253676769.61079988
2024-11-03 00:00:00,0.1998889266377174,0.21680541999052572,0.05694331806442305,1.5979345593844954e-05,0.0,0.0,240279053.06126615,242035549.85583746
2024-11-04 00:00:00,0.15594922664672,0.2160765511114482,0.05723642645606846,1.9751796832000828e-05,0.0,0.0,229172846.08187845,257031415.37969354
