transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-12-24,5114.0,2659.0,1.1460446155885617e+19,0.00548569196700418,347.0,0.5629936066190298,0.03,7.727025969052034e+20
2024-12-25,5159.0,2803.0,4.0405958969887473e+18,0.006023751576369325,304.0,0.5540492329646807,0.03,7.767431928021921e+20
2024-12-26,4971.0,2471.0,1.0253495929456e+19,0.021186680469850318,363.0,0.5649534601375961,0.03,7.869966887316482e+20
2024-12-27,1026.0,635.0,7.359778283050295e+18,0.006483166787354651,84.0,0.15905511811023623,0.01,7.943564670146984e+20
2024-12-28,749.0,480.0,2.1914874529752914e+18,0.0021595944104199102,43.0,0.09375,0.01,7.965479544676737e+20
2024-12-29,863.0,430.0,3.572993093126538e+18,0.0014321307246588637,238.0,0.05581395348837209,0.0,8.001209475608003e+20
2024-12-30,553.0,286.0,1.011376714249688e+19,0.003975677142895655,141.0,0.17482517482517482,0.0,8.102347147032972e+20
2024-12-31,607.0,328.0,5.869325026302282e+17,0.007220538074878954,104.0,0.10670731707317073,0.0,8.108216472059275e+20
2025-01-01,1054.0,308.0,2.5420672998218858e+17,0.002795722357343962,636.0,0.07792207792207792,0.02,8.110758539359097e+20
2025-01-02,1317.0,538.0,2.4661560085724396e+18,0.0006674347609354425,501.0,0.055762081784386616,0.03,8.135420099444821e+20
2025-01-03,295.0,197.0,5.023655553535054e+17,0.0012953972102854646,50.0,0.1218274111675127,0.01,8.140443754998356e+20
2025-01-04,319.0,209.0,2.0172214918318418e+18,0.003207591629237836,36.0,0.11961722488038277,0.01,8.160615969916674e+20
2025-01-05,2862.0,2837.0,6.553754170203584e+17,0.001309180044720019,14.0,0.008812125484666901,0.17,8.167169724086878e+20
2025-01-06,265.0,145.0,4.282782582591914e+17,0.004569848857749835,49.0,0.12413793103448276,0.01,8.17145250666947e+20
2025-01-07,595.0,321.0,4.572065241276709e+17,0.010034363262860049,90.0,0.09968847352024922,0.02,8.176024571910746e+20
2025-01-08,399.0,200.0,5.864493893833249e+17,0.008245769539426588,75.0,0.145,0.01,8.18188906580458e+20
2025-01-09,322.0,208.0,5.004380215717428e+18,0.0037399486740946645,35.0,0.10576923076923077,0.01,8.231932867961753e+20
2025-01-10,155.0,111.0,2.4329167254894496e+17,0.0036253324661089424,16.0,0.24324324324324326,0.01,8.234365784687243e+20
2025-01-11,780.0,374.0,4.898173387174773e+17,0.005914809532831172,251.0,0.06951871657754011,0.02,8.239263958074419e+20
2025-01-12,845.0,571.0,4.5218398340905165e+17,0.002405884330188405,181.0,0.0595446584938704,0.04,8.24378579790851e+20
2025-01-13,3353.0,3107.0,7.636112913779419e+17,0.0018362640350482223,86.0,0.00804634695848085,0.19,8.25142191082229e+20
2025-01-14,371.0,190.0,5.257128651742828e+17,0.004142831233645327,89.0,0.11052631578947368,0.01,8.256679039474032e+20
2025-01-15,3439.0,3168.0,5.0541503083569786e+17,0.008828217587517907,107.0,0.005997474747474747,0.19,8.261733189782388e+20
2025-01-16,6824.0,6483.0,3.6107255235612563e+17,0.03989304424275852,292.0,0.01018047200370199,0.4,8.265343915305949e+20
2025-01-17,174.0,127.0,2.394127273334768e+17,0.002001267162701409,33.0,0.1732283464566929,0.01,8.267738042579284e+20
2025-01-18,119.0,97.0,1.067938777120731e+17,0.001431922193204911,14.0,0.23711340206185566,0.01,8.268805981356404e+20
2025-01-19,89.0,72.0,5.002331022890171e+17,0.0013222683611938838,11.0,0.2222222222222222,0.0,8.273808312379294e+20
2025-01-20,560.0,323.0,1.264246356847694e+18,0.0032051236530023608,119.0,0.04953560371517028,0.02,8.286450775947772e+20
2025-01-21,227.0,155.0,5.200759571603478e+17,0.002209192555744561,52.0,0.08387096774193549,0.01,8.291651535519376e+20
2025-01-22,174.0,149.0,5.782999934777988e+17,0.0027869229177634185,11.0,0.10738255033557047,0.01,8.297434535454153e+20
2025-01-23,141.0,89.0,1.7721584743764403e+17,0.0017171358017694111,22.0,0.20224719101123595,0.01,8.29920669392853e+20
2025-01-24,74.0,57.0,3.657196186891809e+17,0.0007006680862240621,7.0,0.2631578947368421,0.0,8.302863890115422e+20
2025-01-25,135.0,92.0,1.7770757614672945e+18,0.0007493300701608322,12.0,0.16304347826086957,0.01,8.320634647730095e+20
2025-01-26,124.0,94.0,1.3243715599492803e+19,0.000202280353893771,19.0,0.20212765957446807,0.01,8.453071803725024e+20
2025-01-27,175.0,106.0,3.95409111663701e+17,0.001108070896101622,36.0,0.22641509433962265,0.01,8.45702589484166e+20
2025-01-28,79.0,57.0,4.270434718251132e+17,0.0008332649990443643,8.0,0.2807017543859649,0.0,8.461296329559912e+20
2025-01-29,55.0,45.0,1.1855430958376448e+17,0.0005550476984799828,3.0,0.26666666666666666,0.0,8.462481872655749e+20
2025-01-30,94.0,67.0,2.1684191927911146e+17,0.0011682594480095143,13.0,0.14925373134328357,0.0,8.46465029184854e+20
2025-01-31,68.0,53.0,2.4499602464079366e+17,0.0016863942203226197,4.0,0.24528301886792453,0.0,8.467100252094948e+20
2025-02-01,101.0,84.0,1.824844321033789e+18,0.00031055081794414675,5.0,0.14285714285714285,0.14,8.485348695305286e+20
2025-02-02,54.0,39.0,2.7849965169413194e+17,6.398189627781201e-05,13.0,0.28205128205128205,0.07,8.488133691822227e+20
2025-02-03,91.0,59.0,1.743295331223488e+17,0.0008135028060090915,16.0,0.2033898305084746,0.1,8.48987698715345e+20
2025-02-04,234.0,183.0,2.9307295879337636e+18,0.0015455406806603753,34.0,0.1092896174863388,0.31,8.519184283032787e+20
2025-02-08,130.0,86.0,2.5935562868850608e+17,0.0009448503296821839,7.0,0.18604651162790697,0.15,8.521777839319672e+20
2025-02-09,145.0,83.0,1.5854403112595715e+18,0.0020083610424200173,16.0,0.1927710843373494,0.14,8.537632242432268e+20
2025-02-10,156.0,129.0,2.434779350475193e+17,0.0003936131738838264,10.0,0.18604651162790697,0.22,8.540067021782744e+20
