date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-11-21 00:00:00,0.4357148484953646,0.037176076349937325,0.0603080843484122,1.5358957690053422e-09,0.0,29432583.165356584,126200530.41478273,113750813.00246558
2024-11-22 00:00:00,0.16380581090436366,0.25625308903892247,0.18103095880301068,1.3615361502835778e-09,0.0,48286459.1039592,115339304.34005214,122280795.86208373
2024-11-23 00:00:00,0.3082615795870348,0.12439923330972358,0.14727410264623866,1.3260354640864029e-09,0.0,55534842.79502553,121394795.96642601,119207542.65579791
2024-11-24 00:00:00,0.1996091661750062,0.07162457613149424,0.08601606986344038,9.659040587844852e-10,0.0,60070322.5711689,116331641.56390628,126852610.5900662
2024-11-25 00:00:00,0.2799350784686562,0.18881898695877417,0.24235602934615347,9.187251917330074e-10,0.0,48272988.559548095,117146200.28175624,133687364.20628805
2024-11-26 00:00:00,0.47255315175168394,0.14894452666003608,0.13966497496223262,1.2273895925940143e-09,0.0,47957783.183849216,120949239.52758518,134363175.54727682
2024-11-27 00:00:00,0.33924049612627427,0.33434212727479345,0.13231945251479957,8.730596613309671e-10,0.0,41625893.1448876,112612720.75127377,125290796.02191214
2024-11-28 00:00:00,0.36404445036172584,0.2604855886095009,0.08336522080489375,9.157051207364411e-10,0.0,91088113.02573276,133147682.44630712,139322799.1475485
2024-11-29 00:00:00,0.30669192265807466,0.09799228053514883,0.21092227966451677,1.1950325188061348e-09,0.0,87815037.38310686,128595212.41109195,140674670.45223585
2024-11-30 00:00:00,0.3975996823067183,0.2715893497987532,0.06051179582065653,-1.7536332384118038e-06,0.0,83378867.58414717,139203744.34366482,129887676.49605669
2024-12-01 00:00:00,0.47085499663039276,0.25914242369699375,0.17776003321741912,-7.534452357711095e-06,0.0,82746288.17664787,130335383.41775478,150630280.5333462
2024-12-02 00:00:00,0.14433492887540864,0.2789004027157657,0.12007118794678853,-1.1326826167133018e-05,0.0,45877863.2753094,145356994.24753013,151999732.71743426
2024-12-03 00:00:00,0.2598426982783542,0.2880680827146957,0.09892361977477689,6.424710779517993e-10,0.0,65730136.36375693,143435568.9399116,142105522.1468026
2024-12-04 00:00:00,0.4097495884705246,0.18604915870762376,0.15377957741565837,1.1447727753725955e-09,0.0,37406036.3484981,144855525.58006057,142039014.66033286
2024-12-05 00:00:00,0.44137164404950296,0.15532041373336294,0.03259488378162804,1.1148186429722843e-09,0.0,57119457.55013099,143786693.65365535,157349633.0414931
2024-12-06 00:00:00,0.3523488673449313,0.10293392483590276,0.13677889673158924,3.6995137874094626e-08,0.0,39258537.300475776,152281280.57985112,139614324.36164275
2024-12-07 00:00:00,0.20833146539409758,0.1672096959971818,0.12294569571857429,1.8100755833880344e-08,0.0,47138210.24557588,139799026.78861946,149607007.90501302
2024-12-08 00:00:00,0.48125288796861143,0.250401975445839,0.13957036613362744,2.718939452227931e-08,0.0,56698418.94072849,135786521.86044294,141069807.1417915
2024-12-09 00:00:00,0.23568964852217203,0.20216253492211653,0.06340535177620851,4.215076874070089e-09,0.0,51377497.93247557,141927950.1150828,154185901.65426862
2024-12-10 00:00:00,0.34081821100074633,0.178819199556727,0.08769447687751963,3.6741388205486036e-09,0.0,34965962.740105376,137234472.39566362,140180683.10272193
2024-12-11 00:00:00,0.2621681764516944,0.20803622376292488,0.08521850870850921,7.624628415088997e-10,0.0,53259276.37910112,144210253.7201904,123056631.713143
2024-12-12 00:00:00,0.17531213860118022,0.35901220887000607,0.0978216849934712,7.762481250095154e-10,0.0,31902605.095559172,150080356.40223277,157248856.53556046
2024-12-13 00:00:00,0.3533326433594532,0.1980636761218069,0.10300682460540475,9.469463378060057e-10,0.0,48021546.10812222,145971026.86446097,149857905.7283312
2024-12-14 00:00:00,0.23852810962401497,0.19523283782570636,0.09696483636819483,8.853793754706416e-10,0.0,57571243.82596263,148653258.30529073,133782128.7033098
